assignment_id,SLS,nama_usaha_bang,jenis_prelist,ada_bang_usaha_label,link_fasih
1dbc1191-10d8-41b8-9d7d-81d08ea24ec9,71030910080003,KANTIN(ENDANG),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/1dbc1191-10d8-41b8-9d7d-81d08ea24ec9
1fe73e9d-1b54-408d-a7bc-5afaaec53727,71030900140005,USAHA MAKANAN ( ENDA )(HENDRA LIMONU),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/1fe73e9d-1b54-408d-a7bc-5afaaec53727
2c860c5b-609e-4f65-89c0-c217b60861d9,71030900140007,GUDANG MEGARIA,bangunan_lain,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/2c860c5b-609e-4f65-89c0-c217b60861d9
316c369b-b32e-4f8f-ad7b-1a422d35db7d,71030800090003,MINUMAN ALKOHOL (SELSI TONDONDAME),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/316c369b-b32e-4f8f-ad7b-1a422d35db7d
37abfc5c-b453-4d60-9607-1ed5355fd72c,71030600170002,KOPRA (JUN TATULUS),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/37abfc5c-b453-4d60-9607-1ed5355fd72c
3bd3d052-78b5-4fdb-a2ff-77fe196e0d0f,71030400130001,JUAL BELI HASIL PERTANIAN JELITA MANTIQHA,UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/3bd3d052-78b5-4fdb-a2ff-77fe196e0d0f
3d091e32-72df-411d-ba03-54a265e20dcd,71030900110012,"SEJAHTERA UTAMA, CV",UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/3d091e32-72df-411d-ba03-54a265e20dcd
4a8aad82-af90-4aec-bd6d-a6c0d4be14f9,71030410040001,PENJUALAN PULSA JENI,UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/4a8aad82-af90-4aec-bd6d-a6c0d4be14f9
4b297e02-c742-43e6-be01-48978346220f,71030600170001,PUSTU ,bangunan_lain,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/4b297e02-c742-43e6-be01-48978346220f
5ebe560b-b792-48fd-abed-c66ffaae4b3e,71030400110008,WARUNG SEMBAKO (TONY),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/5ebe560b-b792-48fd-abed-c66ffaae4b3e
6566dc52-2952-4223-83a3-fe59f44ff591,71031000280003,KOPRA (SUPRATMAN)(SUPRATMAN MANENGGEK) ,UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/6566dc52-2952-4223-83a3-fe59f44ff591
66360ecb-7290-4a76-961d-bd094e1b65fa,71031100050001,INDUSTRI PENGOLAHAN KOPRA,UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/66360ecb-7290-4a76-961d-bd094e1b65fa
6b862569-710a-4021-8723-65dd3d834649,71030910030002,MTS NEGERI TAHUNA (KOMITE) ,UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/6b862569-710a-4021-8723-65dd3d834649
79259a42-e0cc-41c3-a547-c6565305753a,71030910080002,KOSAN BAPAK ISMANTO (ISMANTO NURSALAM),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/79259a42-e0cc-41c3-a547-c6565305753a
7abd5f3b-fd1e-4c0e-bd23-ca7b1b45e151,71030500110001,TRANSPORTASI MOBIL (FRANGKI DONALD ONTHONI),UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/7abd5f3b-fd1e-4c0e-bd23-ca7b1b45e151
827f5bda-b8a2-45a7-a94f-1575eadd32d6,71031000260002,PENGOLAHAN KOPRA JABIR,UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/827f5bda-b8a2-45a7-a94f-1575eadd32d6
837bcfe1-47d0-4851-bd49-5ba38a4605a3,71030900120001,PANGKAS RAMBUT SURABAYA ZAKKI ,UMKM,0. Tidak Ditemukan,https://fasih-sm.bps.go.id/app/assignment-detail/837bcfe1-47d0-4851-bd49-5ba38a4605a3
